n,j,u[n][j],exact,error
0,0,0.000000,0.000000,0.000000
0,1,0.309017,0.309017,0.000000
0,2,0.587785,0.587785,0.000000
0,3,0.809017,0.809017,0.000000
0,4,0.951057,0.951057,0.000000
0,5,1.000000,1.000000,0.000000
0,6,0.951057,0.951057,0.000000
0,7,0.809017,0.809017,0.000000
0,8,0.587785,0.587785,0.000000
0,9,0.309017,0.309017,0.000000
1,0,0.000000,0.000000,0.000000
1,1,0.296917,0.297055,0.046364
1,2,0.564771,0.565032,0.046364
1,3,0.777340,0.777701,0.046364
1,4,0.913818,0.914242,0.046364
1,5,0.960845,0.961291,0.046364
1,6,0.913818,0.914242,0.046364
1,7,0.777340,0.777701,0.046364
1,8,0.564771,0.565032,0.046364
1,9,0.296917,0.297055,0.046364
2,0,0.000000,0.000000,0.000000
2,1,0.285292,0.285556,0.092750
2,2,0.542657,0.543160,0.092750
2,3,0.746904,0.747596,0.092750
2,4,0.878038,0.878852,0.092750
2,5,0.923224,0.924080,0.092750
2,6,0.878038,0.878852,0.092750
2,7,0.746904,0.747596,0.092750
2,8,0.542657,0.543160,0.092750
2,9,0.285292,0.285556,0.092750
3,0,0.000000,0.000000,0.000000
3,1,0.274121,0.274503,0.139157
3,2,0.521410,0.522135,0.139157
3,3,0.717659,0.718657,0.139157
3,4,0.843658,0.844832,0.139157
3,5,0.887075,0.888309,0.139157
3,6,0.843658,0.844832,0.139157
3,7,0.717659,0.718657,0.139157
3,8,0.521410,0.522135,0.139157
3,9,0.274121,0.274503,0.139157
4,0,0.000000,0.000000,0.000000
4,1,0.263388,0.263877,0.185586
4,2,0.500994,0.501924,0.185586
4,3,0.689559,0.690839,0.185586
4,4,0.810625,0.812130,0.185586
4,5,0.852342,0.853923,0.185586
4,6,0.810625,0.812130,0.185586
4,7,0.689559,0.690839,0.185586
4,8,0.500994,0.501924,0.185586
4,9,0.263388,0.263877,0.185586
5,0,0.000000,0.000000,0.000000
5,1,0.253075,0.253662,0.232036
5,2,0.481378,0.482495,0.232036
5,3,0.662559,0.664097,0.232036
5,4,0.778885,0.780693,0.232036
5,5,0.818968,0.820869,0.232036
5,6,0.778885,0.780693,0.232036
5,7,0.662559,0.664097,0.232036
5,8,0.481378,0.482495,0.232036
5,9,0.253075,0.253662,0.232036
6,0,0.000000,0.000000,0.000000
6,1,0.243166,0.243843,0.278508
6,2,0.462529,0.463818,0.278508
6,3,0.636617,0.638390,0.278508
6,4,0.748388,0.750472,0.278508
6,5,0.786902,0.789093,0.278508
6,6,0.748388,0.750472,0.278508
6,7,0.636617,0.638390,0.278508
6,8,0.462529,0.463818,0.278508
6,9,0.243166,0.243843,0.278508
7,0,0.000000,0.000000,0.000000
7,1,0.233645,0.234404,0.325001
7,2,0.444419,0.445863,0.325001
7,3,0.611690,0.613678,0.325001
7,4,0.719085,0.721422,0.325001
7,5,0.756091,0.758548,0.325001
7,6,0.719085,0.721422,0.325001
7,7,0.611690,0.613678,0.325001
7,8,0.444419,0.445863,0.325001
7,9,0.233645,0.234404,0.325001
8,0,0.000000,0.000000,0.000000
8,1,0.224497,0.225331,0.371516
8,2,0.427018,0.428604,0.371516
8,3,0.587740,0.589923,0.371516
8,4,0.690930,0.693496,0.371516
8,5,0.726486,0.729185,0.371516
8,6,0.690930,0.693496,0.371516
8,7,0.587740,0.589923,0.371516
8,8,0.427018,0.428604,0.371516
8,9,0.224497,0.225331,0.371516
9,0,0.000000,0.000000,0.000000
9,1,0.215707,0.216608,0.418052
9,2,0.410298,0.412013,0.418052
9,3,0.564727,0.567088,0.418052
9,4,0.663876,0.666652,0.418052
9,5,0.698041,0.700959,0.418052
9,6,0.663876,0.666652,0.418052
9,7,0.564727,0.567088,0.418052
9,8,0.410298,0.412013,0.418052
9,9,0.215707,0.216608,0.418052
10,0,0.000000,0.000000,0.000000
10,1,0.207261,0.208224,0.464610
10,2,0.394233,0.396065,0.464610
10,3,0.542615,0.545136,0.464610
10,4,0.637882,0.640846,0.464610
10,5,0.670709,0.673825,0.464610
10,6,0.637882,0.640846,0.464610
10,7,0.542615,0.545136,0.464610
10,8,0.394233,0.396065,0.464610
10,9,0.207261,0.208224,0.464610
11,0,0.000000,0.000000,0.000000
11,1,0.199145,0.200163,0.511190
11,2,0.378797,0.380733,0.511190
11,3,0.521369,0.524034,0.511190
11,4,0.612906,0.616039,0.511190
11,5,0.644448,0.647742,0.511190
11,6,0.612906,0.616039,0.511190
11,7,0.521369,0.524034,0.511190
11,8,0.378797,0.380733,0.511190
11,9,0.199145,0.200163,0.511190
12,0,0.000000,0.000000,0.000000
12,1,0.191348,0.192415,0.557791
12,2,0.363965,0.365995,0.557791
12,3,0.500955,0.503749,0.557791
12,4,0.588908,0.592193,0.557791
12,5,0.619215,0.622668,0.557791
12,6,0.588908,0.592193,0.557791
12,7,0.500955,0.503749,0.557791
12,8,0.363965,0.365995,0.557791
12,9,0.191348,0.192415,0.557791
13,0,0.000000,0.000000,0.000000
13,1,0.183856,0.184967,0.604413
13,2,0.349714,0.351828,0.604413
13,3,0.481340,0.484250,0.604413
13,4,0.565849,0.569270,0.604413
13,5,0.594969,0.598565,0.604413
